Date,OGDC,PPL,POL,MARI,NBP,BAFL,HBL,UBL,MCB,BAHL,FCCL,DGKC,LUCK,EFERT,FFC,ENGRO,HUBC,KAPCO,EPCL,SSGC,SNGP,PSO,TRG,PAEL,ISL,NML,SEARL,HCAR,MTL,ATRL
2016-01-01,117.86,123.08,269.19,697.32,54.33,29.29,201.07,155.86,217.37,42,38.18,154.67,517.83,85.83,118.75,284.85,103.6,82.51,10.53,38.51,24.97,331.62,35.16,63.6,24.49,99.61,405.4,240.61,559.99,217.79
2016-01-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-04,115.73,122.58,267.35,700.7,54.02,28.91,200.07,155.35,216.91,42,37.5,152.02,506.61,85.31,116.98,282.76,103.7,81.75,10.51,38.58,24.46,332.33,35.23,66.42,24,99.43,403.34,239.98,555,216.5
2016-01-05,115.14,121.01,265.33,697.1,53.47,29.36,200.01,154.92,216.85,42.97,37.99,153.59,507.32,84.38,116.65,282.22,102.4,80.93,10.54,38.25,24.38,325.54,34.59,68.32,23.34,101.79,403.24,248.86,555,215.02
2016-01-06,114.05,120.73,264.9,702.09,53.34,29.3,198.43,154.79,214.56,44,37.83,153.64,508.75,85.42,116.04,281.59,102.34,80.47,10.5,37.91,24.1,327.76,34.65,68.12,24.01,100.75,422.73,252.06,557.36,215.37
2016-01-07,109.67,115.29,251.66,721.38,53.32,29.1,196.24,153.58,214.37,43.51,37.54,151.74,506.41,84.88,114.6,277.67,101.9,80.45,10.35,37.45,23.66,323.51,33.79,67.86,23.52,99.9,443.45,250.62,550.65,209.28
2016-01-08,108.73,115.06,243.89,712.81,53.16,29.21,193.36,152.96,211.06,43.48,37.68,149.48,501.98,84.81,115.97,277.86,101.59,80.56,10.31,37.64,23.42,321.27,33.55,67.96,23.5,98.81,445.48,251.9,551,206.53
2016-01-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-11,106.15,114.26,237.67,702.2,53.92,29.25,190.9,151.98,206.9,44.58,37.69,152.31,500.16,84.7,116.35,274.17,102.22,79.8,9.87,38.04,23.02,320.23,31.89,67.58,23.5,96.87,441.33,249.91,524.35,203.11
